候補者名,所属・党派,日時,演説場所,時間,備考・応援弁士,情報ソース
まつど徹,無所属（現職・4選目指す）,6月15日（日）,船橋駅南口,10:00,第一声・出陣式,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月15日（日）,新船橋 イオンタウンマックスバリュー前,11:30,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月15日（日）,南船橋駅ロータリー,14:30,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月15日（日）,船橋駅北口,17:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月16日（月）,下総中山駅北口,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月16日（月）,船橋市役所前付近,12:15,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月16日（月）,ふなっこ畑 行田,14:30,,https://tohrumatsudo.jp/speech/
つまがり俊明,無所属新人（立憲民主党系）,6月15日（日）,船橋駅北口デッキ,10:00,出陣式・応援弁士：野田佳彦衆議院議員,https://www.facebook.com/team.tsumagari
つまがり俊明,無所属新人（立憲民主党系）,6月15日（日）,津田沼駅北口,11:30,第一声・応援弁士：野田佳彦衆議院議員,https://www.facebook.com/team.tsumagari
つまがり俊明,無所属新人（立憲民主党系）,6月16日（月）,津田沼駅北口デッキ,朝駅頭,応援：野田佳彦衆議院議員,https://www.facebook.com/team.tsumagari
つまがり俊明,無所属新人（立憲民主党系）,6月16日（月）,ヤオコー船橋三山店,11:00,スポット演説（5分）,https://www.facebook.com/team.tsumagari
つまがり俊明,無所属新人（立憲民主党系）,6月16日（月）,船橋駅,16:30,夜駅頭,https://www.facebook.com/team.tsumagari
江川あつこ,無所属新人（ふなばし未来会議代表）,6月15日（日）,船橋駅北口,告示日,街宣第一声,https://x.com/egawa_funabashi
鈴木ひろ子,無所属新人（元県議）,6月16日（月）,下総中山駅,18:00,,https://www.instagram.com/hiroko_suzuki23
鈴木ひろ子,無所属新人（元県議）,6月16日（月）,西船橋駅,19:00,,https://www.instagram.com/hiroko_suzuki23
高橋ひろし,AIDAO党,6月15日（日）,調査中,調査中,AI政策重視,https://x.com/takahas41168704
まつど徹,無所属（現職・4選目指す）,6月19日（木）,JAいちかわ豊富支店前,15:00,,https://tohrumatsudo.jp/960/
まつど徹,無所属（現職・4選目指す）,6月16日（月）,津田沼駅 北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月17日（火）,西船橋駅 北口,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月17日（火）,法典公園横 グラスポ付近,10:30,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月17日（火）,二和向台駅周辺,14:30,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月17日（火）,東船橋駅 北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月18日（水）,船橋駅 北口,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月18日（水）,船橋駅 南口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月19日（木）,北習志野駅,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月19日（木）,船橋日大前付近 (変更済み),13:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月19日（木）,松が丘コープ前付近,16:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月19日（木）,西船橋駅 北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月20日（金）,JR津田沼駅 北口,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月20日（金）,下総中山駅 北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,飯山満駅付近,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,新津田沼駅・津田沼駅北口,13:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,ららぽーと付近,16:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,浜町公民館付近,16:20,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,船橋駅北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,船橋駅,19:45,最終演説,https://tohrumatsudo.jp/speech/
つまがり俊明,無所属新人（立憲民主党系）,6月17日（火）,津田沼駅北口,8:00,,https://x.com/tsumagari1977
つまがり俊明,無所属新人（立憲民主党系）,6月17日（火）,船橋駅南口,18:00,,https://x.com/tsumagari1977
つまがり俊明,無所属新人（立憲民主党系）,6月18日（水）,西船橋駅北口,8:00,,https://x.com/tsumagari1977
つまがり俊明,無所属新人（立憲民主党系）,6月18日（水）,新船橋駅,18:00,,https://x.com/tsumagari1977
まつど徹,無所属（現職・4選目指す）,6月20日（金）,三山 ヤオコー前,11:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月20日（金）,薬円台駅前,13:30,,https://tohrumatsudo.jp/speech/
つまがり俊明,無所属新人（立憲民主党系）,6月20日（金）,朝駅頭 飯山満駅,朝,野田佳彦衆議院議員応援,https://www.facebook.com/team.tsumagari
つまがり俊明,無所属新人（立憲民主党系）,6月20日（金）,津田沼駅北口,16:30,夜駅頭,https://www.facebook.com/team.tsumagari
江川あつこ,無所属新人（ふなばし未来会議代表）,6月20日（金）,JR船橋駅,,連日実施,https://x.com/egawa_funabashi
まつど徹,無所属（現職・4選目指す）,6月20日（金）,下総中山駅 北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月20日（金）,JR津田沼駅 北口,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,飯山満駅付近,8:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,新津田沼駅・津田沼駅北口,13:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,ららぽーと付近,16:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,浜町公民館付近,16:20,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,船橋駅 北口,18:00,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,船橋駅 南口,18:30,,https://tohrumatsudo.jp/speech/
まつど徹,無所属（現職・4選目指す）,6月21日（土）,船橋駅,19:45,最終演説,https://tohrumatsudo.jp/speech/
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,JR船橋駅北口,9:40,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,新船橋駅,10:30,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,西船橋駅北口,11:30,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,JR下総中山駅,12:20,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,馬込沢駅,13:40,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,高根公団駅,16:00,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,高根木戸駅,16:40,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,JUJUきたなら,17:20,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,JR津田沼駅北口,18:30,,https://www.tsumagari.info
つまがり俊明,無所属新人（立憲民主党系）,6月21日（土）,新津田沼駅,19:30,,https://www.tsumagari.info
